"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Novo Nordisk","NVO","518932299776","117.09","Denmark"
"2","LVMH","MC.PA","332859327993","651.203","France"
"3","ASML","ASML","322727804928","693.01","Netherlands"
"4","SAP","SAP","269671596032","229.625","Germany"
"5","Hermès","RMS.PA","234148573738","2233.47","France"
"6","Accenture","ACN","231396392960","369.643","Ireland"
"7","L'Oréal","OR.PA","216598174958","402.701","France"
"8","Inditex","IDEXY","186416021504","29.72","Spain"
"9","Prosus","PRX.AS","185379981412","42.4262","Netherlands"
"10","Siemens","SIE.DE","157072192983","198.846","Germany"
"11","TotalEnergies","TTE","156358410240","65.11","France"
"12","Deutsche Telekom","DTE.DE","155615885005","30.6545","Germany"
"13","Schneider Electric","SU.PA","146391280862","260.372","France"
"14","Sanofi","SNY","140218613760","55.0125","France"
"15","Eaton","ETN","135310213120","339.89","Ireland"
"16","Allianz","ALV.DE","129426936139","328.651","Germany"
"17","Anheuser-Busch Inbev","BUD","128357310464","65.42","Belgium"
"18","Airbus","AIR.PA","117425740886","148.056","Netherlands"
"19","Medtronic","MDT","115382689792","89.96","Ireland"
"20","Dior","CDI.PA","111197465787","616.356","France"
"21","Air Liquide","AI.PA","108210155705","187.608","France"
"22","EssilorLuxottica","EL.PA","106382268313","234.128","France"
"23","Iberdrola","IBE.MC","98344152665","15.4579","Spain"
"24","Safran","SAF.PA","95211647122","227.594","France"
"25","Investor AB","INVE-B.ST","91028681409","29.716","Sweden"
"26","Trane Technologies","TT","89590988800","397","Ireland"
"27","AXA","CS.PA","86278780947","39.0504","France"
"28","Ferrari","RACE","85625978880","470.7","Italy"
"29","Atlas Copco","ATCO-B.ST","83302773451","15.759","Sweden"
"30","Enel","ENEL.MI","80647942886","7.94076","Italy"
"31","BNP Paribas","BNP.PA","79673217101","69.6396","France"
"32","Santander","SAN","78191239168","5.055","Spain"
"33","Intesa Sanpaolo","ISP.MI","76055721607","4.27366","Italy"
"34","Spotify","SPOT","74899374080","372.99","Sweden"
"35","Munich RE (Münchener Rück)","MUV2.DE","74757548757","552.761","Germany"
"36","Merck KGaA","MRK.DE","72643762082","168.681","Germany"
"37","UniCredit","UCG.MI","68643375559","43.8582","Italy"
"38","Vinci","DG.PA","66706854736","116.683","France"
"39","Mercedes-Benz","MBG.DE","66406271763","62.0712","Germany"
"40","Porsche","P911.DE","65945252088","73.7667","Germany"
"41","Cement Roadstone Holding","CRH","63469019136","93.36","Ireland"
"42","Siemens Healthineers","SHL.DE","62926411325","56.2561","Germany"
"43","NXP Semiconductors","NXPI","60428316672","237.09","Netherlands"
"44","Banco Bilbao Vizcaya Argentaria","BBVA","59536707584","10.17","Spain"
"45","ING","ING","55034892288","17.31","Netherlands"
"46","Volvo Group","VOLV-A.ST","52383620149","25.9638","Sweden"
"47","DSV","DSV.VI","51774961002","220.952","Denmark"
"48","Johnson Controls","JCI","51286777856","76.775","Ireland"
"49","BMW","BMW.DE","51190276293","81.5855","Germany"
"50","Volkswagen","VOW3.DE","51110376862","99.8367","Germany"
"51","ENI","E","49541124096","30.65","Italy"
"52","Universal Music Group","UMG.AS","48935379898","26.1352","Netherlands"
"53","DHL Group (Deutsche Post)","DHL.DE","48199870683","41.3155","Germany"
"54","Heineken","HEIA.AS","47788410689","84.5258","Netherlands"
