,country,industry,industryKey,sector,sectorKey,longBusinessSummary,fullTimeEmployees,compensationAsOfEpochDate,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk
0,Denmark,Biotechnology,biotechnology,Healthcare,healthcare,"Novo Nordisk A/S, together with its subsidiaries, engages in the research and development, manufacture, and distribution of pharmaceutical products in Europe, the Middle East, Africa, Mainland China, Hong Kong, Taiwan, North America, and internationally. It operates in two segments, Diabetes and Obesity Care, and Rare Disease. The Diabetes and Obesity care segment provides products for diabetes, obesity, cardiovascular, and other emerging therapy areas. The Rare Disease segment offers products in the areas of rare blood disorders, rare endocrine disorders, and hormone replacement therapy. The company also provides insulin pens, growth hormone pens, and injection needles. In addition, it offers smart solutions for diabetes treatment, such as smart insulin pens and Dose Check, an insulin dose guidance application. The company has a collaboration agreement with Aspen Pharmaceuticals to produce insulin products; and with Korro Bio, Inc. for the discovery and development of new genetic medicines to treat cardiometabolic diseases. Novo Nordisk A/S was founded in 1923 and is headquartered in Bagsvaerd, Denmark.",69260.0,1672444800.0,1.45,0.0123000005,1723766400.0,0.4702,1.48,0.148,39.67627,28.001198,842843.0,842843.0,4117312.0,4172820.0,4172820.0,518732873728.0,92.94,148.15,2.010569,128.8326,127.70125,9.9,0.08403361,USD,519567638528.0,0.34844002,3184179687.0,3375899904.0,4461579776.0,25.242,4.6369143,1703980800.0,1735603200.0,1719705600.0,0.032,89898000384.0,2.95,4.18,84.96,2:1,1695168000.0,2.014,4.105,0.17142284,0.3478098,0.513,1723766400.0,NYQ,EQUITY,NVO,NVO,Novo Nordisk A/S,Novo Nordisk A/S,357485400,America/New_York,EDT,62654001152.0,14.055,126561001472.0,57059999744.0,0.739,0.945,258002993152.0,50.71,57.802,0.22798,0.88572,54488375296.0,115333996544.0,0.039,0.253,0.84528,0.49054,0.4648,DKK,1.808,,,,,
0,France,Luxury Goods,luxury-goods,Consumer Cyclical,consumer-cyclical,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne operates as a luxury goods company worldwide. The company offers wines, and spirits under the domaine des Lambrays, Château d'Yquem, Dom Pérignon, Ruinart, Moët & Chandon, Hennessy, Veuve Clicquot, Château Galoupet, Ardbeg, Château Cheval Blanc, Glenmorangie, Krug, Mercier, Chandon, Joseph Phelps, Newton Vineyard, Cloudy Bay, Belvedere, Colgin Cellars,Terrazas de los Andes, Bodega Numanthia, Cheval des Andes, Woodinville, Ao Yun, Clos19, Volcan de mi Tierra, and Eminente brands; and fashion and leather products under the Loewe, Moynat, Louis Vuitton, Berluti, RIMOWA, Patou, Loro Piana, FENDI, Celine, Christian Dior, Emilio Pucci, Givenchy, Kenzo, and Marc Jacobs brands. It also provides perfumes and cosmetics under the Stella by Stella Mccartney, Officine Universelle Buly, Guerlain, Acqua di Parma, Parfums Christian Dior, Givenchy Parfums, Perfumes Loewe, Benefit Cosmetics, Make Up For Ever, Kenzo Parfums, Fresh, KVD Beauty, Maison Francis Kurkdjian, Cha Ling, Fenty Beauty by Rihanna, and Olehenriksen brands; watches and jewelry under the Chaumet, Tiffany & Co., TAG Heuer, Zenith, Bulgari, Fred, Hublot, and Repossi brands; and custom-designed yachts under the Feadship brand and hotels under the Cheval Blanc brand names, as well as designs and builds luxury yachts under the Royal Van Lent brand. In addition, the company offers daily newspapers under the Les Échos brand; Belmond, a luxury tourism service; home other activities under the Cova, Jardin d'Acclimatation, Le Parisien, Connaissance des Arts, Investir, and Radio Classique brands; and selective retailing products under the DFS, La Grande Epicerie de Paris, Le Bon Marché Rive Gauche, Sephora, and Starboard Cruise Services brands, as well as operates Jardin d'Acclimatation, a leisure and theme park. LVMH Moët Hennessy - Louis Vuitton, Société Européenne was founded in 1365 and is headquartered in Paris, France.",192287.0,1703980800.0,13.0,0.020399999,1733097600.0,0.4653,1.39,0.963,21.374374,17.30513,675115.0,675115.0,446134.0,451692.0,451692.0,305255809024.0,578.8,886.4,3.5664892,645.632,731.507,13.0,0.020786695,EUR,343844126720.0,0.16309999,253334001.0,499171008.0,511144992.0,129.728,4.6034784,1703980800.0,1735603200.0,1719705600.0,-0.143,13959999488.0,27.94,34.51,2.68,5:1,962582400.0,4.017,14.146,-0.044780612,0.3478098,5.5,1733097600.0,PAR,EQUITY,MC.PA,MC.PA,LVMH,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",946886400,Europe/Paris,CEST,11096999936.0,22.214,24305999872.0,40851001344.0,0.586,1.381,85589999616.0,61.449,171.319,0.09632,0.2321,9772125184.0,18933999616.0,-0.141,-0.013,0.68528,0.28398,0.25573,EUR,3.3149,5.0,8.0,10.0,7.0,9.0
0,Netherlands,Semiconductor Equipment & Materials,semiconductor-equipment-materials,Technology,technology,"ASML Holding N.V. develops, produces, markets, sells, and services advanced semiconductor equipment systems for chipmakers. It offers advanced semiconductor equipment systems, including lithography, metrology, and inspection systems. The company also provides extreme ultraviolet lithography systems; and deep ultraviolet lithography systems comprising immersion and dry lithography solutions to manufacture various range of semiconductor nodes and technologies. In addition, it offers metrology and inspection systems, including YieldStar optical metrology systems to assess the quality of patterns on the wafers; and HMI electron beam solutions to locate and analyze individual chip defects. Further, the company provides computational lithography solutions, and lithography systems and control software solutions; and refurbishes and upgrades lithography systems, as well as offers customer support and related services. It operates in Japan, South Korea, Singapore, Taiwan, China, rest of Asia, the Netherlands, rest of Europe, the Middle East, Africa, and the United States. The company was formerly known as ASM Lithography Holding N.V. and changed its name to ASML Holding N.V. in 2001. ASML Holding N.V. was founded in 1984 and is headquartered in Veldhoven, the Netherlands.",40309.0,1703980800.0,6.65,0.0091,1722211200.0,0.35169998,0.83,,35.78371,21.677864,4687940.0,4687940.0,1644123.0,1852150.0,1852150.0,320117637120.0,573.86,1110.09,12.2009535,842.5396,908.64954,6.1,0.008351245,USD,286912774144.0,0.26399,393054516.0,393200000.0,465689984.0,41.077,16.734549,1703980800.0,1735603200.0,1727568000.0,0.097,6926300160.0,19.21,31.71,1.5,8:9,1191196800.0,10.935,32.363,0.2523446,0.3478098,1.643,1722211200.0,NMS,EQUITY,ASML,ASML,ASML Holding N.V. - New York Re,ASML Holding N.V.,795277800,America/New_York,EDT,4984500224.0,12.677,8865399808.0,4692199936.0,0.728,1.551,26237100032.0,29.051,1.200402,0.12707,0.49216,497700000.0,4818400256.0,0.098,0.119,0.51147,0.3379,0.32692,EUR,1.3367,,,,,
0,Germany,Software - Application,software-application,Technology,technology,"SAP SE, together with its subsidiaries, provides applications, technology, and services worldwide. It offers SAP S/4HANA that provides software capabilities for finance, risk and project management, procurement, manufacturing, supply chain and asset management, and research and development; SAP SuccessFactors solutions for human resources, including HR and payroll, talent and employee experience management, and people and workforce analytics; and spend management solutions that covers direct and indirect spend, travel and expense, and external workforce management. The company also provides SAP customer experience solutions; SAP Business Technology platform that enables customers and partners to build, integrate, and automate applications; and SAP Business Network, a business-to-business collaboration platform that helps digitalize key business processes across the supply chain and enables communication between trading partners. In addition, it offers SAP Signavio to help customers to discover, analyze, and understand their business process operations; SAP's industry cloud solutions that provides modular solutions addressing industry-specific functions; Taulia solutions for working capital management to help enable customers mitigate the effects of inflation by providing visibility into working capital and access to liquidity; and sustainability solutions and services. SAP SE was founded in 1972 and is headquartered in Walldorf, Germany.",105315.0,1703980800.0,2.39,0.0104,1715817600.0,1.0195,1.56,0.921,96.97458,33.95549,393854.0,393854.0,837137.0,790070.0,790070.0,268773179392.0,127.3,232.23,8.259017,219.5704,194.862,2.2,0.009585221,USD,265079046144.0,0.07863,989603865.0,1166499968.0,1174400000.0,35.707,6.4093876,1703980800.0,1735603200.0,1719705600.0,-0.719,2559000064.0,2.36,6.74,3.29,4:1,901584000.0,8.146,32.702,0.7986051,0.3478098,2.385,1715817600.0,NYQ,EQUITY,SAP,SAP,SAP  SE,SAP SE,811431000,America/New_York,EDT,11678000128.0,10.011,8105999872.0,8732000256.0,0.984,1.12,32543000576.0,20.82,27.898,0.065749995,0.061,9452000256.0,7389000192.0,-0.725,0.098,0.72744006,0.24909,0.23417,EUR,2.7103,,,,,
0,France,Luxury Goods,luxury-goods,Consumer Cyclical,consumer-cyclical,"Hermès International Société en commandite par actions engages in the production, wholesale, and retail of various goods. The company offers leather goods and saddlery, such as bags for men and women, travel articles, small leather goods and accessories, saddles, bridles, and a full range of equestrian products and clothing; ready-to-wear garments for men and women; and accessories, including jewelry, belts, hats, gloves, the Internet of Things products, and shoes. It also provides silk and textiles for men and women; art of living and tableware products; perfumes; and watches. In addition, the company is also involved in weaving, engraving, printing, dyeing, finishing, and producing textiles; and purchasing, tanning, dyeing, finishing, and selling precious leathers. It sells its products through a network of stores worldwide. The company also sells watches, perfumes, and tableware through a network of specialized stores. Hermès International Société en commandite par actions was founded in 1837 and is based in Paris, France. Hermès International Société en commandite par actions operates as a subsidiary of H51 SAS.",23242.0,1703980800.0,15.0,0.0070999996,1714608000.0,0.3534,0.58,0.706,48.18653,40.797607,48855.0,48855.0,64171.0,54283.0,54283.0,214494461952.0,1641.0,2436.0,15.070222,2069.68,2145.5344,11.5,0.0055182343,EUR,210987466752.0,0.31285998,33885571.0,104836000.0,105326000.0,143.721,14.235916,1703980800.0,1735603200.0,1719705600.0,0.064,4453000192.0,42.46,50.15,4.58,3:1,1150070400.0,14.824,33.986,0.2591933,0.3478098,11.5,1714608000.0,PAR,EQUITY,RMS.PA,RMS.PA,HERMES INTL,Hermès International Société en commandite par actions,946886400,Europe/Paris,CEST,9477999616.0,90.499,6208000000.0,2180999936.0,3.071,4.108,14232999936.0,14.465,135.87,0.19178,0.31544,3285374976.0,4465999872.0,0.062,0.12,0.71454,0.43617,0.42124,EUR,4.9102,6.0,8.0,8.0,10.0,9.0
0,Ireland,Information Technology Services,information-technology-services,Technology,technology,"Accenture plc provides strategy and consulting, industry X, song, and technology and operation services in North America, Europe, the Middle East, Africa, and internationally. It offers systems integration and application management; security; intelligent platform; infrastructure; software engineering; data and AI; and automation services. The company also operates business processes; and designs, manufactures, and assembles automation equipment, robotics, and other commercial hardware products. It serves communications, media, and technology; banking and capital markets, and insurance; health and public service; consumer goods, retail, travel services; industrial; life science; chemicals, natural resources, energy, and utilities sectors. The company was founded in 1951 and is based in Dublin, Ireland.",774000.0,1703980800.0,5.92,0.0161,1728518400.0,0.45099998,1.34,1.239,32.41732,26.447536,521247.0,521247.0,2410168.0,2286740.0,2286740.0,231951777792.0,278.69,387.51,3.574182,341.5244,334.49005,5.35,0.014512016,USD,230349570048.0,0.111940004,623724659.0,626000000.0,636937984.0,45.242,8.189956,1725062400.0,1756598400.0,1725062400.0,0.227,7264786944.0,11.43,14.01,2.98,,,3.549,20.816,0.21361554,0.3478098,1.48,1728518400.0,NYQ,EQUITY,ACN,ACN,Accenture plc,Accenture plc,995549400,America/New_York,EDT,5009865216.0,8.018,11065912320.0,4120549120.0,0.984,1.099,64896462848.0,14.127,103.363,0.11627,0.26674998,7641968128.0,9131027456.0,0.236,0.026,0.32609,0.17052001,0.14597,USD,2.3036,2.0,3.0,4.0,4.0,2.0
0,France,Household & Personal Products,household-personal-products,Consumer Defensive,consumer-defensive,"L'Oréal S.A., through its subsidiaries, manufactures and sells cosmetic products for women and men worldwide. The company operates through four divisions: Consumer Products, L'oréal Luxe, Professional Products, and Dermatological Beauty. It offers skincare, make-up, hair colourants, haircare, perfumes, and hygiene products. The company provides its products under the L'Oréal Paris, Garnier, Maybelline New York, NYX Professional Makeup, Stylenanda, Essie, Dark & Lovely, Mixa, Magic Mask, Niley, Lancôme, Yves Saint Laurent, Armani, Kiehl's Since 1851, Helena Rubinstein, Biotherm, Shu Uemura, IT Cosmetics, Ralph Lauren Fragrance, Urban Decay, Mugler, Valentino, Viktor&Rolf, Azzaro, Prada, Cacharel, Maison Margela Fragrance, Diesel, Yue Sai, Atelier Colonge, Carita, Takami, Aesop, L'Oréal Professionnel Paris, Kérastase, Redken, Matrix, Pureology, Pulp Riot, La Roche-Posay, Vichy, CeraVe, SkinCeuticals, and Skinbetter Science brands. It sells its products through distribution channels, such as hair salons, local stores, e-commerce, travel retail, mass market retail, department store perfumeries, pharmacies, drug stores, medi-spas, and free-standing stores. L'Oréal S.A. was founded in 1909 and is headquartered in Clichy, France.",90000.0,1703980800.0,6.6,0.016900001,1714089600.0,0.5459,1.71,0.711,30.260328,26.00497,498111.0,498111.0,359601.0,308016.0,308016.0,196938907648.0,346.2,461.85,4.609,386.016,421.418,6.6,0.017534537,EUR,207733866496.0,0.15167,234658927.0,533707008.0,537864000.0,55.407,6.6083703,1703980800.0,1735603200.0,1719705600.0,0.088,6480600064.0,12.1,14.08,3.8,2:1,1495152000.0,4.862,22.109,0.022056937,0.3478098,6.6,1714089600.0,PAR,EQUITY,OR.PA,OR.PA,L'OREAL,L'Oréal S.A.,946886400,Europe/Paris,CEST,2728300032.0,5.102,9396100096.0,9188100096.0,0.572,1.014,42729201664.0,31.009,79.86,0.10185,0.22523001,4687625216.0,7551099904.0,0.091,0.075,0.74153,0.2199,0.20791,EUR,3.3284,3.0,6.0,6.0,1.0,6.0
0,Spain,Apparel Retail,apparel-retail,Consumer Cyclical,consumer-cyclical,"Industria de Diseño Textil, S.A. engages in the retail and online distribution of clothing, footwear, accessories, and household products. The company sells its products under the Zara, Pull & Bear, Massimo Dutti, Bershka, Stradivarius, Oysho, and Zara Home brands. It is also involved in the textile manufacturing, logistics, design, insurance, construction, and real estate businesses, as well as provides financial services. The company operates in Spain, rest of Europe, the Americas, Asia, and internationally. Industria de Diseño Textil, S.A. was founded in 1963 and is headquartered in A Coruña, Spain.",153541.0,1672444800.0,0.84,0.028499998,1730419200.0,0.7589,2.69,1.078,30.181816,22.80916,1450.0,1450.0,144523.0,145820.0,145820.0,187419607040.0,17.01,30.11,5.043449,27.3692,24.3547,1.04,0.035482768,USD,85583912960.0,0.15166001,1109223400.0,6226140160.0,6272410112.0,5.3,5.6377354,1706659200.0,1738281600.0,1722384000.0,0.096,5635999744.0,0.99,1.31,,2:1,1406678400.0,2.303,10.014,0.60317457,0.3478098,0.41,1714348800.0,PNK,EQUITY,IDEXY,IDEXY,Industria de Diseno Textil Indi,"Industria de Diseño Textil, S.A.",1263997800,America/New_York,EDT,10928000000.0,3.508,8546483200.0,5241999872.0,1.054,1.349,37161000960.0,31.678,5.9675,0.14041,0.34960997,5776551936.0,8688000000.0,0.096,0.073,0.55868,0.22999,0.19590999,EUR,3.4776,,,,,
0,Netherlands,Internet Content & Information,internet-content-information,Communication Services,communication-services,"Prosus N.V. engages in the e-commerce and internet businesses in Asia, Europe, Latin America, North America, and internationally. It operates internet platforms, such as classifieds, payments and fintech, food delivery, education technology, etail, ventures, social, and other internet platforms. The company was formerly known as Myriad International Holdings N.V. and changed its name to Prosus N.V. in August 2019. Prosus N.V. was incorporated in 1994 and is headquartered in Amsterdam, the Netherlands. Prosus N.V. operates as a subsidiary of Naspers Limited.",21048.0,1735603200.0,0.1,0.0025,1730332800.0,0.028299998,,0.643,16.703863,12.086956,1447726.0,1447726.0,2580464.0,3096019.0,3096019.0,94386446336.0,23.755,41.78,17.264761,34.8754,31.724424,0.108,0.0027777778,EUR,205961510912.0,1.20834,2926182625.0,2423849984.0,2499399936.0,16.534,2.3539371,1711843200.0,1743379200.0,1711843200.0,-0.574,6876000256.0,2.33,3.22,,2.1796:1,1694649600.0,37.674,-25745.19,0.4778371,0.3478098,0.1,1730332800.0,AMS,EQUITY,PRX.AS,PRX.AS,PROSUS,Prosus N.V.,1568185200,Europe/Amsterdam,CEST,18990000128.0,3.54,-8000000.0,16327999488.0,4.51,4.774,5466999808.0,39.543,1.458,-0.0016500001,0.15969,-423500000.0,1045000000.0,-0.165,0.153,0.40644002,-0.0014599999,-0.03332,USD,,1.0,5.0,5.0,10.0,5.0
0,Germany,Specialty Industrial Machinery,specialty-industrial-machinery,Industrials,industrials,"Siemens Aktiengesellschaft, a technology company, focuses in the areas of automation and digitalization in Europe, Commonwealth of Independent States, Africa, the Middle East, the Americas, Asia, and Australia. It operates through Digital Industries, Smart Infrastructure, Mobility, Siemens Healthineers, and Siemens Financial Services (SFS) segments. The Digital Industries segment provides automation systems and software for factories, numerical control systems, servo motors, drives and inverters, and integrated automation systems for machine tools and production machines; process control systems, machine-to-machine communication products, sensors and radio frequency identification systems; software for production and product lifecycle management, and simulation and testing of mechatronic systems; and the Mendix cloud-native low-code application development platform. The Smart Infrastructure segment offers products, systems, solutions, services, and software to support sustainable transition in energy generation from fossil and renewable sources; sustainable buildings and communities; and buildings, electrification, and electrical products. The Mobility segment provides rail passenger and freight transportation, such as vehicles, trams and light rail, and commuter trains, as well as trains and passenger coaches; locomotives and solutions for automated transportation; products and solutions for rail automation; electrification products; maintenance and digital services; and digital and cloud-based solutions, and related services. The Siemens Healthineers segment develops, manufactures, and sells various diagnostic and therapeutic products and services; and provides clinical consulting and training services. The SFS segment offers debt and equity investments; leasing, lending, and working capital, structured, equipment, and project financing; and financial advisory services. Siemens Aktiengesellschaft was founded in 1847 and is headquartered in Munich, Germany.",309000.0,1703980800.0,4.7,0.0254,1707436800.0,0.4714,3.11,1.233,18.284855,21.47232,401349.0,401349.0,1083459.0,1004973.0,1004973.0,144002416640.0,119.48,188.88,1.8316025,169.1476,172.1478,4.7,0.025705535,EUR,191403851776.0,0.103269994,764842658.0,789920000.0,789920000.0,63.105,2.8888361,1696032000.0,1727654400.0,1719705600.0,0.549,7975000064.0,9.97,8.49,2.0,,,2.435,16.162,0.42070556,0.3478098,4.7,1707436800.0,GER,EQUITY,SIE.DE,SIE.DE,SIEMENS AG  NA O.N.,Siemens Aktiengesellschaft,847440000,Europe/Berlin,CEST,7758000128.0,9.83,11843000320.0,49901998080.0,0.79,1.404,78620999680.0,91.117,99.546,0.040799998,0.16410999,3409625088.0,11352000512.0,0.56,0.042,0.38854998,0.15063,0.13825,EUR,2.1456,2.0,2.0,2.0,1.0,1.0
